,City,Population,Latitude,Longitude,Country
284,Mucurapo,4342.0,10.6666667,-61.5333333,Trinidad and Tobago
285,Tingréla,67746.0,10.48115,-6.406939,Côte d'Ivoire
286,Mango,34791.0,10.3591667,0.4708332999999999,Togo
287,Birao,11833.0,10.2833333,22.7833333,Central African Republic
288,Bindi,3331.0,9.9166667,-11.45,Sierra Leone
289,Gberia Fotombu,3171.0,9.883333300000002,-11.1666667,Sierra Leone
290,Point Pedro,89944.0,9.8166667,80.2333333,Sri Lanka
291,Valvedditturai,78324.0,9.8166667,80.16666670000001,Sri Lanka
292,Ferkessédougou,74966.0,9.5928,-5.1944870000000005,Côte d'Ivoire
293,El Porvenir,10.0,9.5652778,-78.9533333,Panama
294,Portobelo,1274.0,9.55,-79.65,Panama
295,Ndélé,11941.0,8.409166699999998,20.6530556,Central African Republic
296,Mabaruma,717.0,8.2,-59.7833333,Guyana
297,Ollei,109.0,7.717222200000001,134.6122222,Palau
298,Ulimang,130.0,7.6216667,134.63888889999998,Palau
299,Yekepa,24746.0,7.579444400000001,-8.5377778,Liberia
300,Ganta,13828.0,7.302222200000001,-8.530833300000001,Liberia
301,Kudat,32397.0,6.8837,116.8477,Malaysia
302,Dhidhdhoo,3039.0,6.883333299999999,73.1,Maldives
303,Georgetown,235017.0,6.8,-58.1666667,Guyana
304,Nolhivaranfaru,448.0,6.7166667,73.1,Maldives
305,Kangar,63894.0,6.4414,100.198619,Malaysia
306,Nieuw Nickerie,13410.0,5.95,-56.9833333,Suriname
307,Sabang,24519.0,5.893333,95.321389,Indonesia
308,Mariënburg,4463.0,5.883333299999999,-55.05,Suriname
309,Mana,5887.0,5.6666667,-53.7833333,French Guiana
310,Banda Aceh,250796.0,5.5577,95.3222,Indonesia
311,Iracoubo,1539.0,5.4833333,-53.216666700000005,French Guiana
312,Gbadolite,50489.0,4.283333,21.016667,"Congo, The Democratic Republic of the"
313,Bosobolo,14552.0,4.183333,19.9,"Congo, The Democratic Republic of the"
314,Mandera,36066.0,3.9261111,41.8461111,Kenya
315,Malabo,156039.0,3.75,8.7833333,Equatorial Guinea
316,Moyo,14377.0,3.6280556000000006,31.753611100000004,Uganda
317,Moyale,16246.0,3.5163888999999995,39.0691667,Kenya
318,Kaabong,9806.0,3.4836111000000005,34.1491667,Uganda
319,Luba,8668.0,3.45,8.55,Equatorial Guinea
320,Butaritari,2582.0,3.0833333,172.81666669999998,Kiribati
321,Bonfim,5769.0,3.083333,-59.95,Brazil
322,Boa Vista,235159.0,2.816667,-60.666667,Brazil
323,Bitam,10297.0,2.0833333,11.483333300000002,Gabon
324,Rawannawi,1916.0,2.05,173.2666667,Kiribati
325,Sémbé,2514.0,1.6480556,14.5805556,Congo
326,Impfondo,20859.0,1.6380556,18.0666667,Congo
327,Oyem,30870.0,1.6166667,11.5833333,Gabon
328,Singapore,3547809.0,1.2930556,103.8558333,Singapore
329,San Lorenzo,20209.0,1.2883333,-78.83694440000001,Ecuador
330,Valdez,11441.0,1.2491667,-78.9830556,Ecuador
331,Nsunga,20049.0,-1.1438889,31.3947222,"Tanzania, United Republic of"
332,Kayanga,12407.0,-1.2166667,31.65,"Tanzania, United Republic of"
333,Ruhengeri,86737.0,-1.4833333,29.616666700000003,Rwanda
334,Byumba,70586.0,-1.5775,30.0625,Rwanda
335,Lorengau,5807.0,-2.0166667,147.2666667,Papua New Guinea
336,Kavieng,14491.0,-2.5666667000000003,150.8,Papua New Guinea
337,Kirundo,6084.0,-2.5847222000000003,30.0972222,Burundi
338,Muyinga,71095.0,-2.8494444,30.336111100000004,Burundi
339,Aguas Verdes,9147.0,-3.4813889,-80.245,Peru
340,Zarumilla,16983.0,-3.5030556000000006,-80.27305559999999,Peru
341,Victoria,26361.0,-4.616666700000001,55.45,Seychelles
342,Cabinda,66020.0,-5.55,12.2,Angola
343,Lolua,628.0,-5.6666667,176.1333333,Tuvalu
344,Soyo,67553.0,-6.134903,12.368935,Angola
345,Tonga,376.0,-6.2833333,176.31666669999998,Tuvalu
346,Georgetown,538.0,-7.9333333,-14.4166667,"Saint Helena, Ascension and Tristan da Cunha"
347,Gizo,6155.0,-8.1,156.85,Solomon Islands
348,Buala,2689.0,-8.1333333,159.58333330000002,Solomon Islands
349,Kaputa,2683.0,-8.4666667,29.6666667,Zambia
350,Mpulungu,8547.0,-8.766666699999998,31.1333333,Zambia
351,Omoka,180.0,-8.981666699999998,-158.0605556,Cook Islands
352,Chitipa,8825.0,-9.7166667,33.2666667,Malawi
353,Atuona,1762.0,-9.8,-139.0333333,French Polynesia
354,Karonga,34211.0,-9.9333333,33.9333333,Malawi
355,Tauhunu,69.0,-10.425,-161.03527780000002,Cook Islands
356,Guayaramerín,36010.0,-10.8,-65.3833333,"Bolivia, Plurinational State of"
357,Riberalta,74018.0,-10.983333300000002,-66.1,"Bolivia, Plurinational State of"
358,Mitsamiouli,6104.0,-11.3847222,43.2844444,Comoros
359,Moroni,42882.0,-11.704166699999998,43.2402778,Comoros
360,Nguiu,1250.0,-11.75911,130.63815300000002,Australia
361,Galiwinku,1347.0,-12.02811,135.564865,Australia
362,Mtsamboro,7725.0,-12.696666699999998,45.0666667,Mayotte
363,Bandraboua,7882.0,-12.7016667,45.1205556,Mayotte
364,Pemba,108737.0,-12.9608333,40.5077778,Mozambique
365,Montepuez,72279.0,-13.125555599999998,38.9997222,Mozambique
366,Ambilobe,14635.0,-13.2,49.05,Madagascar
367,Vailala,451.0,-13.2166667,-176.15,Wallis and Futuna
368,Alele,901.0,-13.233333300000002,-176.15,Wallis and Futuna
369,Fagamalo,294.0,-13.4166667,-172.35,Samoa
370,Saleaula,597.0,-13.4333333,-172.33333330000002,Samoa
371,Ambanja,30621.0,-13.6833333,48.45,Madagascar
372,Sola,1171.0,-13.883333300000002,167.55,Vanuatu
373,Luganville,13398.0,-15.5333333,167.16666669999998,Vanuatu
374,Jamestown,637.0,-15.9333333,-5.7166667,"Saint Helena, Ascension and Tristan da Cunha"
375,Hihifo,815.0,-15.95,-173.75,Tonga
376,Faanui,2061.0,-16.4833333,-151.75,French Polynesia
377,Kariba,34797.0,-16.5166667,28.8,Zimbabwe
378,Mount Darwin,11963.0,-16.783333300000002,31.5833333,Zimbabwe
379,Oshikango,2658.0,-17.4,15.883333300000002,Namibia
380,Eenhana,3405.0,-17.466666699999998,16.3333333,Namibia
381,Kasane,9250.0,-17.8166667,25.15,Botswana
382,Kachikau,961.0,-18.1666667,24.4666667,Botswana
383,Arica,186000.0,-18.475,-70.30417,Chile
384,Neiafu,4320.0,-18.65,-173.9833333,Tonga
385,Mutalau,129.0,-18.9333333,-169.83333330000002,Niue
386,Namukulu,14.0,-18.95,-169.9,Niue
387,Mayor Pablo Lagerenza,1205.0,-19.916667,-60.783333,Paraguay
388,Cap Malheureux,4803.0,-19.9841667,57.6141667,Mauritius
389,Grand Gaube,7156.0,-20.0063889,57.6608333,Mauritius
390,Iquique,227501.0,-20.22083,-70.14305999999999,Chile
391,Poum,1568.0,-20.2333333,164.0166667,New Caledonia
392,Ouégoa,2092.0,-20.35,164.43333330000002,New Caledonia
393,Saint-Denis,137198.0,-20.8666667,55.466666700000005,Réunion
394,Sainte-Marie,31638.0,-20.8833333,55.55,Réunion
395,Fuerte Olimpo,2478.0,-21.033333,-57.9,Paraguay
396,Messina,20191.0,-22.351308,30.039597,South Africa
397,Tartagal,63600.0,-22.516365,-63.801314,Argentina
398,Thohoyandou,44046.0,-22.945642000000003,30.484972,South Africa
399,San Ramon de la Nueva Oran,84504.0,-23.13398,-64.32464499999999,Argentina
400,Bulembu,2263.0,-25.9666667,31.1333333,Eswatini
401,Mhlume,8654.0,-26.0333333,31.85,Eswatini
402,Hlotse,46416.0,-28.8833333,28.05,Lesotho
403,Teyateyaneng,25149.0,-29.15,27.7333333,Lesotho
404,Bella Unión,14639.0,-30.25,-57.5833333,Uruguay
405,Artigas,44564.0,-30.4,-56.466666700000005,Uruguay
406,Awanui,388.0,-35.05,173.25,New Zealand
407,Kaeo,508.0,-35.1,173.783333,New Zealand
408,Port-aux-Français,45.0,-49.35,70.2166667,French Southern Territories
409,Barentsburg,576.0,78.0666667,14.233333300000002,Svalbard and Jan Mayen
410,Hvolsvöllur,753.0,63.75,-20.233333,Iceland
411,Vestmannaeyjar,4203.0,63.365,-20.2075,Iceland
412,Lopra,124.0,61.4333333,-6.7666667,Faroe Islands
413,Sumba,289.0,61.4,-6.7,Faroe Islands
414,Nanortalik,1509.0,60.1166667,-45.216666700000005,Greenland
415,Narsaq Kujalleq,110.0,60.0030556,-44.6636111,Greenland
416,Tammisaari,14377.0,59.966667,23.433333,Finland
417,Hanko,9962.0,59.833333,22.95,Finland
418,Svenevik,203.0,58.05,7.2,Norway
419,Mandal,10233.0,58.033333,7.45,Norway
420,Saru,299.0,57.604722200000005,26.538611100000004,Estonia
421,Misso,324.0,57.60222220000001,27.2377778,Estonia
422,Kraslava,11088.0,55.9,27.1666667,Latvia
423,Daugavpils,111564.0,55.8833333,26.5333333,Latvia
424,Ystad,17266.0,55.416667,13.816667,Sweden
425,Trelleborg,25494.0,55.36666700000001,13.166667000000002,Sweden
426,Rødby,2379.0,54.694952,11.38885,Denmark
427,Rødbyhavn,2145.0,54.654424,11.352033,Denmark
428,Veisiejai,1654.0,54.1,23.7,Lithuania
429,Druskininkai,17793.0,54.0166667,23.9666667,Lithuania
430,Stolin,10491.0,51.8833333,26.85,Belarus
431,Malaryta,9692.0,51.7833333,24.0833333,Belarus
432,Clonakilty,4065.0,51.6230556,-8.8705556,Ireland
433,Skibbereen,2098.0,51.55,-9.266666699999998,Ireland
434,Eijsden,12079.0,50.777735,5.710742,Netherlands
435,Vaals,10679.0,50.769835,5.994864,Netherlands
436,Falmouth,22222.0,50.148333,-5.076111,United Kingdom
437,Penzance,20812.0,50.113611,-5.547778,United Kingdom
438,Virton,11259.0,49.566667,5.533333,Belgium
439,Rouvroy,1946.0,49.533333,5.5,Belgium
440,Tétange,2929.0,49.4758333,6.0422222,Luxembourg
441,Schengen,470.0,49.4716667,6.3658333,Luxembourg
